Abu',-3.45,142.95
Aari,6,36.58333333
Abau,-4,141.25
Chadian Arabic,13.83333333,20.83333333
Abidji,5.666666667,-4.583333333
Arabic (Beirut),33.91666667,35.5
Arabic (Bahrain),26,50.5
Abipón,-29,-61
Abkhaz,43.08333333,41
Alabama,32.33333333,-87.41666667
Arabana,-28.25,136.25
Arbore,5,36.75
Abun,-0.5,132.5
Abui,-8.25,124.6666667
Abenaki,44,-72.25
Abaza,44,42
Acehnese,5.5,95.5
Achagua,4.416666667,-72.25
Aché,-25.25,-55.16666667
Achí,15.16666667,-90.5
Acholi,3,32.66666667
Achumawi,41.5,-121
Achang,25,98.5
Acoma,34.91666667,-107.5833333
Achuar,-2.66667,-76
Adamorobe Sign Language,5.833333333,-0.1666666667
Adang,-8.2,124
Adioukrou,5.416666667,-4.583333333
Andoke,-0.6666666667,-72
Adynyamathanha,-30.5,139.5
Adyghe,45.21666667,39.7
Adzera,-6.25,146.25
Aleut,54.75,-164
Egyptian Arabic,30,31
Libyan Arabic,32,22
Afrikaans,-31,22
Agarabi,-6.166666667,146
Leggbó,6,8
Agta,17.96666667,121.8333333
Dupaningan Agta,18,122.0833333
Aghem,6.666666667,10
Aghul,41.75,47.66666667
Angami,25.66666667,94.5
Angolar,0.25,6.5
Aguaruna,-5,-78
Anguthimri,-12.33333333,141.8333333
Aguacatec,15.41666667,-91.33333333
Alagwa,-5.5,35.75
Arapaho,40,-103
Arabic (Bani-Hassan),20,-10
Ahtna,62,-145
Aghu,-6.166666667,140.1666667
Aikaná,-12.66666667,-60.66666667
Ainu,43,143
Aizi,5.25,-4.5
Aja,7.333333333,25.66666667
Ajagbe,7,1.75
Ajië,-21.33333333,165.5
Aka,2.666666667,16.25
Aka-Biada,11.66666667,92.5
Aka-Cari,13.5,93
Akha,21.83333333,99.83333333
Aka-Kede,12.75,92.75
Aklanon,11.58333333,122.3333333
Arakanese (Marma),21.5,92.5
Akan,6.5,-1.25
Arabic (Kormakiti),35.25,33.5
Arikara,45.5,-100.5
Akawaio,6,-59.5
Alamblak,-4.666666667,143.3333333
Albanian,41,20
Allentiac,-31,-68
Alladian,5.166666667,-4.333333333
Aleut,54,-166
Algonquin,46,-77
Arop-Lokep,-5.383333333,147.05
Ala'ala,-8.916666667,146.75
Alune,-3,128.3333333
Alsea,44.66666667,-123.9166667
Alsatian,48.5,7.5
Alutor,61,165
Alawa,-15.16666667,134.25
Alas,3.666666667,97.83333333
Alyawarra,-22.5,135
Amara,-5.666666667,148.5
Ambulas,-3.833333333,143
Amahuaca,-10.5,-72.5
Amdo,35,100
Amele,-5.25,145.5833333
Amharic,10,38
Amis,23.33333333,121.3333333
Amarakaeri,-12.5,-70.5
East Ambae,-15.41666667,167.8833333
Ama,-4.216666667,141.6166667
Amanab,-3.583333333,141.25
Amo,10.33333333,8.666666667
Western Arrernte,-24,136
Eastern Arrernte,-24,136
Ambai,-1.833333333,136.5
Moroccan Arabic,34,-6
Arabic,25,42
Amdo (Themchen),38,98
Amuesha,-10.5,-75.41666667
Anamuxra,-4.666666667,145
Amuzgo,16.83333333,-98
Araona,-12.33333333,-67.75
Angas,9.5,9.5
Anêm,-5.583333333,149.0833333
Anggor,-3.75,141.1666667
//Ani,-18.91666667,21.91666667
Anejom,-20.2,169.8
North Levantine Arabic,33.75,36
Anindilyakwa,-14,136.5
Anong,27.33333333,98.75
Angaatiha,-7.216666667,146.25
Anufo,10.08333333,0.25
Andi,42.75,46.25
Anywa,8,33.5
Ao,26.58333333,94.66666667
Mufian,-3.5,143
Palestinian Arabic,32,35.25
Chiricahua,33.25,-108
Ampeeli,-6.75,146.0833333
Apinayé,-5.5,-48
Jicarilla,36.58333333,-104
A-Pucikwar,12.16666667,92.83333333
Apalaí,0,-54
Apatani,27.5,93.75
Apurinã,-9,-67
Apache,33,-110
Western Apache,33.75,-110
Arawak,5.5,-55.16666667
Arabela,-2,-75.16666667
Archi,42,46.83333333
Arandai,-2.083333333,133
Gulf Arabic,26,49
Hijazi Arabic,26,38
Aribwatsa,-6.716666667,147
Kuwaiti Arabic,29.5,47.5
Araki,-15.66666667,166.9166667
Lebanese Arabic,34,36
Armenian,39,45
Eastern Armenian,40,45
